frame_id,t_capture,t_detect_end,t_encode_end,t_send_end,t_recv_complete,compute_delay,encode_delay,tx_delay,prop_delay,total_delay,jpeg_quality
1,1766681436.4471014,1766681436.9750612,1766681436.9908068,1766681437.0378687,1766681437.0438447,0.5279598236083984,0.01574563980102539,0.047061920166015625,0.005975961685180664,0.5967433452606201,10
2,1766681437.0839267,1766681437.1658869,1766681437.1658869,1766681437.2054439,1766681437.230752,0.08196020126342773,0.0,0.03955698013305664,0.02530813217163086,0.14682531356811523,10
3,1766681437.2172797,1766681437.2749982,1766681437.2824912,1766681437.2943866,1766681437.296779,0.057718515396118164,0.007493019104003906,0.011895418167114258,0.002392292022705078,0.0794992446899414,10
4,1766681437.304535,1766681437.349374,1766681437.349374,1766681437.391022,1766681437.393631,0.04483914375305176,0.0,0.041647911071777344,0.0026090145111083984,0.0890960693359375,10
5,1766681437.4047313,1766681437.4347992,1766681437.4380133,1766681437.4599872,1766681437.4618862,0.030067920684814453,0.003214120864868164,0.021973848342895508,0.0018990039825439453,0.05715489387512207,10
6,1766681437.471331,1766681437.5123045,1766681437.5157654,1766681437.558481,1766681437.5609987,0.040973663330078125,0.0034608840942382812,0.04271554946899414,0.0025177001953125,0.08966779708862305,10
7,1766681437.5715973,1766681437.5976593,1766681437.5976593,1766681437.6419506,1766681437.6463616,0.02606201171875,0.0,0.04429125785827637,0.004410982131958008,0.07476425170898438,10
8,1766681437.6546137,1766681437.69397,1766681437.6968443,1766681437.728245,1766681437.732015,0.039356231689453125,0.0028743743896484375,0.03140068054199219,0.0037698745727539062,0.07740116119384766,10
9,1766681437.739405,1766681437.773028,1766681437.776203,1766681437.8100328,1766681437.8195264,0.03362298011779785,0.003175020217895508,0.03382992744445801,0.009493589401245117,0.08012151718139648,10
10,1766681437.8204632,1766681437.8719566,1766681437.8922362,1766681437.9236622,1766681437.9269753,0.05149340629577637,0.020279645919799805,0.03142595291137695,0.0033130645751953125,0.10651206970214844,10
11,1766681437.9357584,1766681437.9646218,1766681437.9646218,1766681438.0086865,1766681438.0650887,0.02886343002319336,0.0,0.04406476020812988,0.05640220642089844,0.12933039665222168,10
12,1766681438.0168405,1766681438.054751,1766681438.0567548,1766681438.0765896,1766681438.0831196,0.03791046142578125,0.002003908157348633,0.01983475685119629,0.006530046463012695,0.06627917289733887,10
13,1766681438.0995827,1766681438.1598787,1766681438.1633093,1766681438.1937368,1766681438.1934958,0.060296058654785156,0.003430604934692383,0.03042745590209961,-0.0002410411834716797,0.09391307830810547,10
14,1766681438.2021074,1766681438.2277763,1766681438.2277763,1766681438.2623334,1766681438.264379,0.025668859481811523,0.0,0.03455710411071777,0.0020456314086914062,0.0622715950012207,10
15,1766681438.2829127,1766681438.314702,1766681438.3177857,1766681438.3588126,1766681438.3672266,0.031789302825927734,0.0030837059020996094,0.04102683067321777,0.008414030075073242,0.08431386947631836,10
16,1766681438.3834033,1766681438.4193203,1766681438.421542,1766681438.444253,1766681438.450873,0.035917043685913086,0.0022215843200683594,0.02271103858947754,0.006619930267333984,0.06746959686279297,10
17,1766681438.4681706,1766681438.4949298,1766681438.4949298,1766681438.5308557,1766681438.5328383,0.02675914764404297,0.0,0.035925865173339844,0.0019826889038085938,0.0646677017211914,10
18,1766681438.5420496,1766681438.5726485,1766681438.576373,1766681438.6101587,1766681438.6101506,0.030598878860473633,0.0037245750427246094,0.03378558158874512,-8.106231689453125e-06,0.0681009292602539,10
19,1766681438.6386383,1766681438.6653867,1766681438.67659,1766681438.7107852,1766681438.7357955,0.0267484188079834,0.011203289031982422,0.0341951847076416,0.025010347366333008,0.09715723991394043,10
20,1766681438.7198665,1766681438.7545235,1766681438.7570894,1766681438.7626653,1766681438.768193,0.03465700149536133,0.0025658607482910156,0.005575895309448242,0.0055277347564697266,0.04832649230957031,10
21,1766681438.7843063,1766681438.8114603,1766681438.8114603,1766681438.844851,1766681438.844401,0.027153968811035156,0.0,0.03339076042175293,-0.00045013427734375,0.060094594955444336,10
22,1766681438.858045,1766681438.8970869,1766681438.9006233,1766681438.9284048,1766681438.9301798,0.039041757583618164,0.0035364627838134766,0.02778148651123047,0.0017750263214111328,0.07213473320007324,10
23,1766681438.9378757,1766681438.9757428,1766681438.979027,1766681439.011944,1766681439.0261893,0.037867069244384766,0.0032842159271240234,0.032917022705078125,0.014245271682739258,0.08831357955932617,10
24,1766681439.022948,1766681439.056024,1766681439.0592425,1766681439.0939608,1766681439.1036787,0.03307604789733887,0.003218412399291992,0.03471827507019043,0.009717941284179688,0.08073067665100098,10
